class,uid,assigned_type,assigned_key,call_offset,UID,EventType,EventNumber,PracticeSessionNumber,TrackOverride,TrackTempStart,TrackTempEnd,AltAdvertising
WEEKENDEVENT_c,8458,,8458,0xEF11,8458,"RACETYPE_c(1163, 1164, S_QUALIFICATION_UC)",3,-1,"WORLDSCRIPT_c(2438, 2439, S_WORLD_TEXAS, 24.0, 1.5, None, S_WORLD_LOC_TEXAS, None, None, False, 27, 46, 138100, 130876421, [], 28.878, None, S_DRIVER_C_EDWARDS, S_DRIVER_M_KENSETH, S_DRIVER_K_BUSCH_02, S_DRIVER_G_BIFFLE, False, S_TB_TEXAS, 19.0, 27.0, False, 32.458, 31.046, 29.635, 196.299, 160.577, 78, False, None, S_TH_KENSETH_JOHNSON, [], 29.946, 31.487, 32.645, 15.0, 32.0, 34.485, 32.976, 31.846, 30.656, 0.976, Texas)",27.0,33.0,False
WEEKENDEVENT_c,8459,,8459,0xEF35,8459,"RACETYPE_c(1165, 1166, S_MULTI_QUICKRACE_UC)",5,-1,None,29.0,23.0,False
WEEKENDEVENT_c,8464,,8464,0xEF59,8464,"RACETYPE_c(1161, 1162, S_PRACTICE_UC)",1,1,None,26.0,31.0,False
WEEKENDEVENT_c,8465,,8465,0xEF7D,8465,"RACETYPE_c(1161, 1162, S_PRACTICE_UC)",2,2,None,27.0,32.0,False
WEEKENDEVENT_c,8466,,8466,0xEFA1,8466,"RACETYPE_c(1163, 1164, S_QUALIFICATION_UC)",3,-1,None,28.0,32.0,False
WEEKENDEVENT_c,8467,,8467,0xEFC5,8467,"RACETYPE_c(1165, 1166, S_MULTI_QUICKRACE_UC)",4,-1,None,27.0,32.0,False
WEEKENDEVENT_c,8468,,8468,0xEFE9,8468,"RACETYPE_c(1161, 1162, S_PRACTICE_UC)",1,1,"WORLDSCRIPT_c(1635, 1636, S_WORLD_RICHMOND, 14.0, 0.75, None, S_WORLD_LOC_RICHMOND, None, None, False, 25, 44, 97912, 127992851, [], 21.556, None, S_HDRIVER_R_PETTY, S_HDRIVER_R_PETTY, S_DRIVER_M_KENSETH, S_HDRIVER_D_JARRET, False, S_TB_RICHMOND, 18.0, 23.0, False, 24.434, 23.372, 22.309, 130.334, 109.047, 76, False, None, S_HDRIVER_R_PETTY, [], 22.645, 23.232, 24.487, 16.0, 30.0, 25.984, 24.889, 23.976, 22.952, 0.98, Richmond)",24.0,29.0,False
WEEKENDEVENT_c,8469,,8469,0xF00D,8469,"RACETYPE_c(1161, 1162, S_PRACTICE_UC)",2,2,"WORLDSCRIPT_c(1635, 1636, S_WORLD_RICHMOND, 14.0, 0.75, None, S_WORLD_LOC_RICHMOND, None, None, False, 25, 44, 97912, 127992851, [], 21.556, None, S_HDRIVER_R_PETTY, S_HDRIVER_R_PETTY, S_DRIVER_M_KENSETH, S_HDRIVER_D_JARRET, False, S_TB_RICHMOND, 18.0, 23.0, False, 24.434, 23.372, 22.309, 130.334, 109.047, 76, False, None, S_HDRIVER_R_PETTY, [], 22.645, 23.232, 24.487, 16.0, 30.0, 25.984, 24.889, 23.976, 22.952, 0.98, Richmond)",26.0,31.0,False
WEEKENDEVENT_c,8470,,8470,0xF031,8470,"RACETYPE_c(1163, 1164, S_QUALIFICATION_UC)",3,-1,"WORLDSCRIPT_c(1635, 1636, S_WORLD_RICHMOND, 14.0, 0.75, None, S_WORLD_LOC_RICHMOND, None, None, False, 25, 44, 97912, 127992851, [], 21.556, None, S_HDRIVER_R_PETTY, S_HDRIVER_R_PETTY, S_DRIVER_M_KENSETH, S_HDRIVER_D_JARRET, False, S_TB_RICHMOND, 18.0, 23.0, False, 24.434, 23.372, 22.309, 130.334, 109.047, 76, False, None, S_HDRIVER_R_PETTY, [], 22.645, 23.232, 24.487, 16.0, 30.0, 25.984, 24.889, 23.976, 22.952, 0.98, Richmond)",22.0,29.0,False
WEEKENDEVENT_c,8471,,8471,0xF055,8471,"RACETYPE_c(1165, 1166, S_MULTI_QUICKRACE_UC)",5,-1,None,28.0,23.0,False
WEEKENDEVENT_c,8476,,8476,0xF079,8476,"RACETYPE_c(1161, 1162, S_PRACTICE_UC)",1,1,None,25.0,31.0,False
WEEKENDEVENT_c,8477,,8477,0xF09D,8477,"RACETYPE_c(1161, 1162, S_PRACTICE_UC)",2,2,None,28.0,33.0,False
WEEKENDEVENT_c,8478,,8478,0xF0C1,8478,"RACETYPE_c(1163, 1164, S_QUALIFICATION_UC)",3,-1,None,27.0,33.0,False
WEEKENDEVENT_c,8479,,8479,0xF0E5,8479,"RACETYPE_c(1165, 1166, S_MULTI_QUICKRACE_UC)",4,-1,None,27.0,33.0,False
WEEKENDEVENT_c,8480,,8480,0xF109,8480,"RACETYPE_c(1161, 1162, S_PRACTICE_UC)",1,1,"WORLDSCRIPT_c(1631, 1632, S_WORLD_DARLINGTON, 25.0, 1.366, None, S_WORLD_LOC_DARLINGTON, None, None, False, 9, 30, 68000, 127796243, [], 27.831, None, S_HDRIVER_D_PEARSON, S_HDRIVER_R_PETTY, S_DRIVER_K_BUSCH_01, S_DRIVER_M_KENSETH, False, S_TB_DARLINGTON, 20.0, 23.0, False, 31.354, 29.99, 28.627, 181.918, 141.383, 62, False, None, S_DRIVER_B_ELLIOT, [], 29.285, 30.821, 32.224, 19.0, 28.0, 34.178, 32.984, 31.875, 30.175, 0.99, Darlington)",24.0,30.0,False
WEEKENDEVENT_c,8481,,8481,0xF12D,8481,"RACETYPE_c(1161, 1162, S_PRACTICE_UC)",2,2,"WORLDSCRIPT_c(1631, 1632, S_WORLD_DARLINGTON, 25.0, 1.366, None, S_WORLD_LOC_DARLINGTON, None, None, False, 9, 30, 68000, 127796243, [], 27.831, None, S_HDRIVER_D_PEARSON, S_HDRIVER_R_PETTY, S_DRIVER_K_BUSCH_01, S_DRIVER_M_KENSETH, False, S_TB_DARLINGTON, 20.0, 23.0, False, 31.354, 29.99, 28.627, 181.918, 141.383, 62, False, None, S_DRIVER_B_ELLIOT, [], 29.285, 30.821, 32.224, 19.0, 28.0, 34.178, 32.984, 31.875, 30.175, 0.99, Darlington)",25.0,31.0,False
WEEKENDEVENT_c,8482,,8482,0xF151,8482,"RACETYPE_c(1163, 1164, S_QUALIFICATION_UC)",3,-1,"WORLDSCRIPT_c(1631, 1632, S_WORLD_DARLINGTON, 25.0, 1.366, None, S_WORLD_LOC_DARLINGTON, None, None, False, 9, 30, 68000, 127796243, [], 27.831, None, S_HDRIVER_D_PEARSON, S_HDRIVER_R_PETTY, S_DRIVER_K_BUSCH_01, S_DRIVER_M_KENSETH, False, S_TB_DARLINGTON, 20.0, 23.0, False, 31.354, 29.99, 28.627, 181.918, 141.383, 62, False, None, S_DRIVER_B_ELLIOT, [], 29.285, 30.821, 32.224, 19.0, 28.0, 34.178, 32.984, 31.875, 30.175, 0.99, Darlington)",24.0,30.0,False
WEEKENDEVENT_c,8483,,8483,0xF175,8483,"RACETYPE_c(1165, 1166, S_MULTI_QUICKRACE_UC)",5,-1,None,31.0,24.0,True
WEEKENDEVENT_c,8484,,8484,0xF199,8484,"RACETYPE_c(1161, 1162, S_PRACTICE_UC)",1,1,"WORLDSCRIPT_c(1528, 1529, S_WORLD_CHARLOTTE, 24.0, 1.5, None, S_WORLD_LOC_CHARLOTTE, None, None, False, 6, 38, 134000, 128452115, [], 28.845, None, S_DRIVER_J_JOHNSON, S_TH_ALLISON_PETTY, S_DRIVER_G_BIFFLE, S_DRIVER_J_GORDON, False, S_TB_LOWES, 20.0, 25.0, True, 33.112, 31.672, 30.233, 193.708, 160.682, 70, False, None, S_HDRIVER_R_PETTY, [], 29.888, 30.943, 32.653, 19.0, 30.0, 34.476, 32.854, 31.653, 30.354, 0.98, Lowes)",25.0,30.0,False
WEEKENDEVENT_c,8485,,8485,0xF1BD,8485,"RACETYPE_c(1163, 1164, S_QUALIFICATION_UC)",2,-1,"WORLDSCRIPT_c(1528, 1529, S_WORLD_CHARLOTTE, 24.0, 1.5, None, S_WORLD_LOC_CHARLOTTE, None, None, False, 6, 38, 134000, 128452115, [], 28.845, None, S_DRIVER_J_JOHNSON, S_TH_ALLISON_PETTY, S_DRIVER_G_BIFFLE, S_DRIVER_J_GORDON, False, S_TB_LOWES, 20.0, 25.0, True, 33.112, 31.672, 30.233, 193.708, 160.682, 70, False, None, S_HDRIVER_R_PETTY, [], 29.888, 30.943, 32.653, 19.0, 30.0, 34.476, 32.854, 31.653, 30.354, 0.98, Lowes)",22.0,28.0,False
WEEKENDEVENT_c,8486,,8486,0xF1E1,8486,"RACETYPE_c(1161, 1162, S_PRACTICE_UC)",3,2,"WORLDSCRIPT_c(1528, 1529, S_WORLD_CHARLOTTE, 24.0, 1.5, None, S_WORLD_LOC_CHARLOTTE, None, None, False, 6, 38, 134000, 128452115, [], 28.845, None, S_DRIVER_J_JOHNSON, S_TH_ALLISON_PETTY, S_DRIVER_G_BIFFLE, S_DRIVER_J_GORDON, False, S_TB_LOWES, 20.0, 25.0, True, 33.112, 31.672, 30.233, 193.708, 160.682, 70, False, None, S_HDRIVER_R_PETTY, [], 29.888, 30.943, 32.653, 19.0, 30.0, 34.476, 32.854, 31.653, 30.354, 0.98, Lowes)",20.0,24.0,False
WEEKENDEVENT_c,8487,,8487,0xF205,8487,"RACETYPE_c(1161, 1162, S_PRACTICE_UC)",4,3,"WORLDSCRIPT_c(1528, 1529, S_WORLD_CHARLOTTE, 24.0, 1.5, None, S_WORLD_LOC_CHARLOTTE, None, None, False, 6, 38, 134000, 128452115, [], 28.845, None, S_DRIVER_J_JOHNSON, S_TH_ALLISON_PETTY, S_DRIVER_G_BIFFLE, S_DRIVER_J_GORDON, False, S_TB_LOWES, 20.0, 25.0, True, 33.112, 31.672, 30.233, 193.708, 160.682, 70, False, None, S_HDRIVER_R_PETTY, [], 29.888, 30.943, 32.653, 19.0, 30.0, 34.476, 32.854, 31.653, 30.354, 0.98, Lowes)",26.0,31.0,False
WEEKENDEVENT_c,8488,,8488,0xF229,8488,"RACETYPE_c(1165, 1166, S_MULTI_QUICKRACE_UC)",6,-1,None,29.0,22.0,False
WEEKENDEVENT_c,8489,,8489,0xF24D,8489,"RACETYPE_c(1161, 1162, S_PRACTICE_UC)",1,1,None,17.0,24.0,False
WEEKENDEVENT_c,8490,,8490,0xF271,8490,"RACETYPE_c(1161, 1162, S_PRACTICE_UC)",2,2,None,19.0,28.0,False
WEEKENDEVENT_c,8491,,8491,0xF295,8491,"RACETYPE_c(1163, 1164, S_QUALIFICATION_UC)",3,-1,None,20.0,28.0,False
WEEKENDEVENT_c,8492,,8492,0xF2B9,8492,"RACETYPE_c(1165, 1166, S_MULTI_QUICKRACE_UC)",4,-1,None,21.0,28.0,False
WEEKENDEVENT_c,8493,,8493,0xF2DD,8493,"RACETYPE_c(1161, 1162, S_PRACTICE_UC)",1,1,None,21.0,28.0,False
WEEKENDEVENT_c,8494,,8494,0xF301,8494,"RACETYPE_c(1161, 1162, S_PRACTICE_UC)",2,2,None,23.0,30.0,False
WEEKENDEVENT_c,8495,,8495,0xF325,8495,"RACETYPE_c(1163, 1164, S_QUALIFICATION_UC)",3,-1,None,21.0,27.0,False
WEEKENDEVENT_c,8496,,8496,0xF349,8496,"RACETYPE_c(1165, 1166, S_MULTI_QUICKRACE_UC)",4,-1,None,23.0,30.0,False
WEEKENDEVENT_c,8497,,8497,0xF36D,8497,"RACETYPE_c(1161, 1162, S_PRACTICE_UC)",1,1,None,24.0,28.0,False
WEEKENDEVENT_c,8498,,8498,0xF391,8498,"RACETYPE_c(1161, 1162, S_PRACTICE_UC)",2,2,None,24.0,28.0,False
WEEKENDEVENT_c,8499,,8499,0xF3B5,8499,"RACETYPE_c(1163, 1164, S_QUALIFICATION_UC)",3,-1,None,26.0,31.0,False
WEEKENDEVENT_c,8500,,8500,0xF3D9,8500,"RACETYPE_c(1165, 1166, S_MULTI_QUICKRACE_UC)",4,-1,None,25.0,31.0,False
WEEKENDEVENT_c,8501,,8501,0xF3FD,8501,"RACETYPE_c(1161, 1162, S_PRACTICE_UC)",1,1,None,27.0,34.0,False
WEEKENDEVENT_c,8502,,8502,0xF421,8502,"RACETYPE_c(1163, 1164, S_QUALIFICATION_UC)",2,-1,None,26.0,33.0,False
WEEKENDEVENT_c,8503,,8503,0xF445,8503,"RACETYPE_c(1161, 1162, S_PRACTICE_UC)",3,2,None,23.0,31.0,False
WEEKENDEVENT_c,8504,,8504,0xF469,8504,"RACETYPE_c(1161, 1162, S_PRACTICE_UC)",4,3,None,23.0,31.0,False
WEEKENDEVENT_c,8505,,8505,0xF48D,8505,"RACETYPE_c(1165, 1166, S_MULTI_QUICKRACE_UC)",5,-1,None,25.0,34.0,False
WEEKENDEVENT_c,8506,,8506,0xF4B1,8506,"RACETYPE_c(1161, 1162, S_PRACTICE_UC)",1,1,"WORLDSCRIPT_c(5417, 5418, S_WORLD_KENTUCKY, 14.0, 1.5, None, S_WORLD_LOC_KENTUCKY, None, None, False, 17, 49, 107000, 131794697, [], 30.254, None, S_DRIVER_B_KESELOWSKI, S_DRIVER_K_BUSCH_02, S_DRIVER_D_EARNHARDT_JR, S_DRIVER_B_KESELOWSKI, False, S_TB_KENTUCKY, 26.0, 26.0, True, 33.0, 32.0, 30.8, 183.636, 145.607, 80, False, None, -, [], 31.221, 32.91, 33.989, 19.0, 29.0, 36.143, 34.875, 33.256, 31.899, 0.98, Kentucky)",28.0,33.0,False
WEEKENDEVENT_c,8507,,8507,0xF4D5,8507,"RACETYPE_c(1161, 1162, S_PRACTICE_UC)",2,2,"WORLDSCRIPT_c(5417, 5418, S_WORLD_KENTUCKY, 14.0, 1.5, None, S_WORLD_LOC_KENTUCKY, None, None, False, 17, 49, 107000, 131794697, [], 30.254, None, S_DRIVER_B_KESELOWSKI, S_DRIVER_K_BUSCH_02, S_DRIVER_D_EARNHARDT_JR, S_DRIVER_B_KESELOWSKI, False, S_TB_KENTUCKY, 26.0, 26.0, True, 33.0, 32.0, 30.8, 183.636, 145.607, 80, False, None, -, [], 31.221, 32.91, 33.989, 19.0, 29.0, 36.143, 34.875, 33.256, 31.899, 0.98, Kentucky)",26.0,31.0,False
WEEKENDEVENT_c,8508,,8508,0xF4F9,8508,"RACETYPE_c(1163, 1164, S_QUALIFICATION_UC)",3,-1,"WORLDSCRIPT_c(5417, 5418, S_WORLD_KENTUCKY, 14.0, 1.5, None, S_WORLD_LOC_KENTUCKY, None, None, False, 17, 49, 107000, 131794697, [], 30.254, None, S_DRIVER_B_KESELOWSKI, S_DRIVER_K_BUSCH_02, S_DRIVER_D_EARNHARDT_JR, S_DRIVER_B_KESELOWSKI, False, S_TB_KENTUCKY, 26.0, 26.0, True, 33.0, 32.0, 30.8, 183.636, 145.607, 80, False, None, -, [], 31.221, 32.91, 33.989, 19.0, 29.0, 36.143, 34.875, 33.256, 31.899, 0.98, Kentucky)",29.0,35.0,False
WEEKENDEVENT_c,8509,,8509,0xF51D,8509,"RACETYPE_c(1165, 1166, S_MULTI_QUICKRACE_UC)",5,-1,None,32.0,27.0,True
WEEKENDEVENT_c,8510,,8510,0xF541,8510,"RACETYPE_c(1161, 1162, S_PRACTICE_UC)",1,1,"WORLDSCRIPT_c(1180, 1181, S_WORLD_DAYTONA_BEACH, 31.0, 2.5, None, S_WORLD_LOC_DAYTONA_BEACH, None, None, False, 10, 31, 168000, 128385558, [], 47.816879, None, S_HDRIVER_R_PETTY, S_HDRIVER_R_PETTY, S_DRIVER_B_ELLIOT, S_HDRIVER_B_BAKER, False, S_TB_DAYTONA, 15.0, 22.0, False, 54.135, 51.781, 49.428, 210.364, 177.602, 63, False, None, S_HDRIVER_R_PETTY, [], 49.149963, 52.916748, 54.916748, 12.0, 27.0, 56.883789, 55.383667, 52.383545, 48.800073, 0.97, Daytona)",29.0,31.0,True
WEEKENDEVENT_c,8511,,8511,0xF565,8511,"RACETYPE_c(1161, 1162, S_PRACTICE_UC)",2,2,"WORLDSCRIPT_c(1180, 1181, S_WORLD_DAYTONA_BEACH, 31.0, 2.5, None, S_WORLD_LOC_DAYTONA_BEACH, None, None, False, 10, 31, 168000, 128385558, [], 47.816879, None, S_HDRIVER_R_PETTY, S_HDRIVER_R_PETTY, S_DRIVER_B_ELLIOT, S_HDRIVER_B_BAKER, False, S_TB_DAYTONA, 15.0, 22.0, False, 54.135, 51.781, 49.428, 210.364, 177.602, 63, False, None, S_HDRIVER_R_PETTY, [], 49.149963, 52.916748, 54.916748, 12.0, 27.0, 56.883789, 55.383667, 52.383545, 48.800073, 0.97, Daytona)",31.0,29.0,True
WEEKENDEVENT_c,8512,,8512,0xF589,8512,"RACETYPE_c(1163, 1164, S_QUALIFICATION_UC)",3,-1,"WORLDSCRIPT_c(1180, 1181, S_WORLD_DAYTONA_BEACH, 31.0, 2.5, None, S_WORLD_LOC_DAYTONA_BEACH, None, None, False, 10, 31, 168000, 128385558, [], 47.816879, None, S_HDRIVER_R_PETTY, S_HDRIVER_R_PETTY, S_DRIVER_B_ELLIOT, S_HDRIVER_B_BAKER, False, S_TB_DAYTONA, 15.0, 22.0, False, 54.135, 51.781, 49.428, 210.364, 177.602, 63, False, None, S_HDRIVER_R_PETTY, [], 49.149963, 52.916748, 54.916748, 12.0, 27.0, 56.883789, 55.383667, 52.383545, 48.800073, 0.97, Daytona)",31.0,30.0,True
WEEKENDEVENT_c,8513,,8513,0xF5AD,8513,"RACETYPE_c(1165, 1166, S_MULTI_QUICKRACE_UC)",5,-1,None,33.0,29.0,True
WEEKENDEVENT_c,8514,,8514,0xF5D1,8514,"RACETYPE_c(1161, 1162, S_PRACTICE_UC)",1,1,None,28.0,31.0,False
WEEKENDEVENT_c,8515,,8515,0xF5F5,8515,"RACETYPE_c(1163, 1164, S_QUALIFICATION_UC)",2,-1,None,31.0,30.0,False
WEEKENDEVENT_c,8516,,8516,0xF619,8516,"RACETYPE_c(1161, 1162, S_PRACTICE_UC)",3,2,None,26.0,29.0,False
WEEKENDEVENT_c,8517,,8517,0xF63D,8517,"RACETYPE_c(1161, 1162, S_PRACTICE_UC)",4,3,None,27.0,31.0,False
WEEKENDEVENT_c,8518,,8518,0xF661,8518,"RACETYPE_c(1165, 1166, S_MULTI_QUICKRACE_UC)",5,-1,None,27.0,31.0,False
WEEKENDEVENT_c,8610,,8610,0xF685,8610,"RACETYPE_c(1161, 1162, S_PRACTICE_UC)",1,1,None,27.0,31.0,False
WEEKENDEVENT_c,8611,,8611,0xF6A9,8611,"RACETYPE_c(1161, 1162, S_PRACTICE_UC)",2,2,None,29.0,33.0,False
WEEKENDEVENT_c,8612,,8612,0xF6CD,8612,"RACETYPE_c(1161, 1162, S_PRACTICE_UC)",3,3,None,29.0,33.0,False
WEEKENDEVENT_c,8613,,8613,0xF6F1,8613,"RACETYPE_c(1163, 1164, S_QUALIFICATION_UC)",4,-1,None,31.0,34.0,False
WEEKENDEVENT_c,8614,,8614,0xF715,8614,"RACETYPE_c(1165, 1166, S_MULTI_QUICKRACE_UC)",5,-1,None,30.0,35.0,False
WEEKENDEVENT_c,8615,,8615,0xF739,8615,"RACETYPE_c(1161, 1162, S_PRACTICE_UC)",1,1,None,24.0,29.0,False
WEEKENDEVENT_c,8616,,8616,0xF75D,8616,"RACETYPE_c(1161, 1162, S_PRACTICE_UC)",2,2,None,28.0,26.0,False
WEEKENDEVENT_c,8617,,8617,0xF781,8617,"RACETYPE_c(1163, 1164, S_QUALIFICATION_UC)",3,-1,None,26.0,28.0,False
WEEKENDEVENT_c,8618,,8618,0xF7A5,8618,"RACETYPE_c(1165, 1166, S_MULTI_QUICKRACE_UC)",4,-1,None,24.0,31.0,False
WEEKENDEVENT_c,8619,,8619,0xF7C9,8619,"RACETYPE_c(1161, 1162, S_PRACTICE_UC)",1,1,None,28.0,31.0,True
WEEKENDEVENT_c,8620,,8620,0xF7ED,8620,"RACETYPE_c(1163, 1164, S_QUALIFICATION_UC)",2,-1,None,30.0,28.0,True
WEEKENDEVENT_c,8621,,8621,0xF811,8621,"RACETYPE_c(1161, 1162, S_PRACTICE_UC)",3,2,None,24.0,28.0,True
WEEKENDEVENT_c,8622,,8622,0xF835,8622,"RACETYPE_c(1165, 1166, S_MULTI_QUICKRACE_UC)",4,-1,None,27.0,32.0,True
WEEKENDEVENT_c,8683,,8683,0xF859,8683,"RACETYPE_c(1161, 1162, S_PRACTICE_UC)",1,1,"WORLDSCRIPT_c(5348, 5349, S_WORLD_BRISTOL, 30.0, 0.533, None, S_WORLD_LOC_BRISTOL, None, None, False, 3, 55, 160000, 128517918, [], 15.645, None, S_HDRIVER_D_WALTRIP, S_HDRIVER_PETTYWALTRIP, S_DRIVER_K_BUSCH_02, S_HDRIVER_C_GLOTZBACH, False, S_TB_BRISTOL, 8.0, 22.0, True, 17.705, 16.936, 16.166, 129.535, 101.074, 82, False, None, S_HDRIVER_R_PETTY, [], 16.435, 17.245, 17.945, 19.0, 32.0, 19.365, 18.434, 17.731, 16.745, 0.975, Bristol)",28.0,32.0,False
WEEKENDEVENT_c,8684,,8684,0xF87D,8684,"RACETYPE_c(1161, 1162, S_PRACTICE_UC)",2,2,"WORLDSCRIPT_c(5348, 5349, S_WORLD_BRISTOL, 30.0, 0.533, None, S_WORLD_LOC_BRISTOL, None, None, False, 3, 55, 160000, 128517918, [], 15.645, None, S_HDRIVER_D_WALTRIP, S_HDRIVER_PETTYWALTRIP, S_DRIVER_K_BUSCH_02, S_HDRIVER_C_GLOTZBACH, False, S_TB_BRISTOL, 8.0, 22.0, True, 17.705, 16.936, 16.166, 129.535, 101.074, 82, False, None, S_HDRIVER_R_PETTY, [], 16.435, 17.245, 17.945, 19.0, 32.0, 19.365, 18.434, 17.731, 16.745, 0.975, Bristol)",30.0,28.0,False
WEEKENDEVENT_c,8685,,8685,0xF8A1,8685,"RACETYPE_c(1163, 1164, S_QUALIFICATION_UC)",3,-1,"WORLDSCRIPT_c(5348, 5349, S_WORLD_BRISTOL, 30.0, 0.533, None, S_WORLD_LOC_BRISTOL, None, None, False, 3, 55, 160000, 128517918, [], 15.645, None, S_HDRIVER_D_WALTRIP, S_HDRIVER_PETTYWALTRIP, S_DRIVER_K_BUSCH_02, S_HDRIVER_C_GLOTZBACH, False, S_TB_BRISTOL, 8.0, 22.0, True, 17.705, 16.936, 16.166, 129.535, 101.074, 82, False, None, S_HDRIVER_R_PETTY, [], 16.435, 17.245, 17.945, 19.0, 32.0, 19.365, 18.434, 17.731, 16.745, 0.975, Bristol)",26.0,24.0,False
WEEKENDEVENT_c,8686,,8686,0xF8C5,8686,"RACETYPE_c(1165, 1166, S_MULTI_QUICKRACE_UC)",5,-1,None,27.0,22.0,False
