class,uid,assigned_type,assigned_key,call_offset,UID,DRIVER,NUMBER,TEAM,Livery,Pin,InteriorConfig,DriverImages,Selectable,AIDriverProfile,Series,BaseArcName,LastWonSprintCup
DRIVERCONFIG_c,9624,,9624,0x16B13,9624,"DRIVER_c(1138, S_DRIVER_M_TRUEX_JR, None, False, S_HT_MAYETTA, 129762845, True, MartinTruexJr56, 129106177, True, False)","DRIVERNUMBER_c(9688, W:\NAS2\Hud\2012\numbers\56_Truex_Jr.tga, 56_MARTINTRUEXJR)","RACETEAM_c(1354, S_TEAM_MWR, None, MWRteam)","LIVERIE_c(7121, MARTINTRUEXJR, BaseColour_c(0, 0, 179), S_SCHEME_DAYTONA, None, False, False, None, 0, None, False, None, False, 0)","DRIVERPIN_c(1733, S_XG_COUNTRY_USA, USA)","DRIVERINTERIORCONFIG_c(12419, 1, None, None)",DRIVERPORTRAIT_c(7387),True,AIRACEDRIVERPROFILE_c(3259),"RACESERIES_c(9670, S_SERIES_SPRINT_CUP, 9671, IMGSPRINTCUP2012.ARC, [], [], 2012, True, None)",2012_TRUEXMARTIN,129106177
DRIVERCONFIG_c,9625,,9625,0x16B46,9625,"DRIVER_c(6495, S_DRIVER_K_CONWAY, None, False, S_HT_CORNELIUS, 129696783, True, , 129106177, False, False)","DRIVERNUMBER_c(7293, W:\nas2\Hud\new\numbers_2011\97-CONWAY_01.tga, 97_CONWAY)","RACETEAM_c(10517, S_TEAM_JEFFWARDRACING, None, )",None,"DRIVERPIN_c(1733, S_XG_COUNTRY_USA, USA)","DRIVERINTERIORCONFIG_c(12419, 1, None, None)",DRIVERPORTRAIT_c(7395),False,AIRACEDRIVERPROFILE_c(3251),None,2012_CONWAY,129106177
DRIVERCONFIG_c,9626,,9626,0x16B79,9626,"DRIVER_c(1123, S_DRIVER_P_MENARD, None, False, S_HT_EAU_CLAIRE, 129763349, True, RCR27PMenard, 131793153, False, False)","DRIVERNUMBER_c(9696, W:\NAS2\Hud\2012\numbers\27_Menard.tga, 27_PAULMENARD)","RACETEAM_c(1333, S_TEAM_RCR, None, RCRracing)","LIVERIE_c(7124, PAULMENARD, BaseColour_c(185, 248, 99), S_SCHEME_RICHMOND, None, False, False, None, 0, None, False, None, False, 0)","DRIVERPIN_c(1733, S_XG_COUNTRY_USA, USA)","DRIVERINTERIORCONFIG_c(2674, 1, None, None)",DRIVERPORTRAIT_c(7385),True,AIRACEDRIVERPROFILE_c(3266),"RACESERIES_c(9670, S_SERIES_SPRINT_CUP, 9671, IMGSPRINTCUP2012.ARC, [], [], 2012, True, None)",2012_MENARD,129106177
DRIVERCONFIG_c,9627,,9627,0x16BAC,9627,"DRIVER_c(1117, S_DRIVER_J_LOGANO, None, False, S_HT_MIDDLETOWN, 130417944, True, joeylogano, 129106177, True, False)","DRIVERNUMBER_c(9683, W:\NAS2\Hud\2012\numbers\20_Logano.tga, 20_JOEYLOGANO)","RACETEAM_c(1335, S_TEAM_JGR, None, joegibbsracing)","LIVERIE_c(7109, JOEYLOGANO, BaseColour_c(255, 109, 0), S_SCHEME_DAYTONA, None, False, False, None, 0, None, False, None, False, 0)","DRIVERPIN_c(1733, S_XG_COUNTRY_USA, USA)","DRIVERINTERIORCONFIG_c(2675, 1, None, None)",DRIVERPORTRAIT_c(7398),True,AIRACEDRIVERPROFILE_c(3244),"RACESERIES_c(9670, S_SERIES_SPRINT_CUP, 9671, IMGSPRINTCUP2012.ARC, [], [], 2012, True, None)",2012_LOGANO,129106177
DRIVERCONFIG_c,9628,,9628,0x16BDF,9628,"DRIVER_c(1116, S_DRIVER_B_LABONTE, None, False, S_HT_C_CHRISTI, 128713992, True, Bobby_Labonte, 129106177, False, False)","DRIVERNUMBER_c(9685, W:\NAS2\Hud\2012\numbers\47_Labonte.tga, 47_BOBBYLABONTE)","RACETEAM_c(1326, S_TEAM_JTGDR, None, NASCAR47)","LIVERIE_c(7086, BOBBYLABONTE, BaseColour_c(217, 0, 0), S_SCHEME_VEGAS, None, False, False, None, 0, None, False, None, False, 0)","DRIVERPIN_c(1733, S_XG_COUNTRY_USA, USA)","DRIVERINTERIORCONFIG_c(12419, 1, None, None)",DRIVERPORTRAIT_c(7414),True,AIRACEDRIVERPROFILE_c(3375),"RACESERIES_c(9670, S_SERIES_SPRINT_CUP, 9671, IMGSPRINTCUP2012.ARC, [], [], 2012, True, None)",2012_LABONTEBOBBY,129106177
DRIVERCONFIG_c,9629,,9629,0x16C12,9629,"DRIVER_c(1107, S_DRIVER_D_HAMLIN, None, False, S_HT_CHESTERFIELD, 129764114, True, dennyhamlin, 131793153, False, True)","DRIVERNUMBER_c(9682, W:\NAS2\Hud\2012\numbers\11_Hamlin.tga, 11_DENNYHAMLIN)","RACETEAM_c(1335, S_TEAM_JGR, None, joegibbsracing)","LIVERIE_c(7096, DENNYHAMLIN, BaseColour_c(0, 0, 0), S_SCHEME_DAYTONA, None, False, False, None, 0, None, False, None, False, 0)","DRIVERPIN_c(1733, S_XG_COUNTRY_USA, USA)","DRIVERINTERIORCONFIG_c(2378, 1, None, None)",DRIVERPORTRAIT_c(7408),True,AIRACEDRIVERPROFILE_c(3236),"RACESERIES_c(9670, S_SERIES_SPRINT_CUP, 9671, IMGSPRINTCUP2012.ARC, [], [], 2012, True, None)",2012_HAMLIN,129106177
DRIVERCONFIG_c,9630,,9630,0x16C45,9630,"DRIVER_c(1127, S_DRIVER_R_NEWMAN, None, False, S_HT_SOUTH_BEND, 129567752, True, RyanNewman39, 131793153, True, False)","DRIVERNUMBER_c(9707, W:\NAS2\Hud\2012\numbers\39_Newman.tga, 39_RYANNEWMAN)","RACETEAM_c(1351, S_TEAM_SHR, None, StewartHaasRcng)","LIVERIE_c(7128, RYANNEWMAN, BaseColour_c(0, 0, 0), S_SCHEME_TEXAS, None, False, False, None, 0, None, False, None, False, 0)","DRIVERPIN_c(1733, S_XG_COUNTRY_USA, USA)","DRIVERINTERIORCONFIG_c(2658, 1, None, None)",DRIVERPORTRAIT_c(7383),True,AIRACEDRIVERPROFILE_c(3253),"RACESERIES_c(9670, S_SERIES_SPRINT_CUP, 9671, IMGSPRINTCUP2012.ARC, [], [], 2012, True, None)",2012_NEWMAN,129106177
DRIVERCONFIG_c,9631,,9631,0x16C78,9631,"DRIVER_c(1108, S_DRIVER_K_HARVICK, None, False, S_HT_BAKERSFIELD, 129436680, True, RCR29KHarvick, 131793153, False, True)","DRIVERNUMBER_c(9695, W:\NAS2\Hud\2012\numbers\29_Harvick.tga, 29_KEVINHARVICK)","RACETEAM_c(1333, S_TEAM_RCR, None, RCRracing)","LIVERIE_c(7113, KEVINHARVIC, BaseColour_c(255, 221, 0), S_SCHEME_PHOENIX, None, False, False, None, 0, None, False, None, False, 0)","DRIVERPIN_c(1733, S_XG_COUNTRY_USA, USA)","DRIVERINTERIORCONFIG_c(2674, 1, None, None)",DRIVERPORTRAIT_c(7394),True,AIRACEDRIVERPROFILE_c(3246),"RACESERIES_c(9670, S_SERIES_SPRINT_CUP, 9671, IMGSPRINTCUP2012.ARC, [], [], 2012, True, None)",2012_HARVICK,129106177
DRIVERCONFIG_c,9632,,9632,0x16CAB,9632,"DRIVER_c(1106, S_DRIVER_R_GORDON, None, False, S_HT_CORNELIUS, 129040642, True, RobbyGordon, 129106177, False, False)","DRIVERNUMBER_c(9700, W:\NAS2\Hud\2012\numbers\7_Gordon.tga, 7_ROBBYGORDON)","RACETEAM_c(7486, S_TEAM_RGM, None, )","LIVERIE_c(7125, ROBBIEGORDON, BaseColour_c(255, 103, 0), S_SCHEME_AUTOCLUB, None, False, False, None, 0, None, False, None, False, 0)","DRIVERPIN_c(1733, S_XG_COUNTRY_USA, USA)","DRIVERINTERIORCONFIG_c(12421, 1, None, None)",DRIVERPORTRAIT_c(7384),True,AIRACEDRIVERPROFILE_c(3234),"RACESERIES_c(9670, S_SERIES_SPRINT_CUP, 9671, IMGSPRINTCUP2012.ARC, [], [], 2012, True, None)",2012_GORDONROBBY,129106177
DRIVERCONFIG_c,9633,,9633,0x16CDE,9633,"DRIVER_c(1132, S_DRIVER_E_SADLER, None, False, S_HT_EMPORIA_VA, 129434654, True, , 129106177, False, False)","DRIVERNUMBER_c(9697, W:\NAS2\Hud\2012\numbers\0_placeholder.tga, 33_ELLIOTTSADLER)","RACETEAM_c(1333, S_TEAM_RCR, None, RCRracing)",None,"DRIVERPIN_c(1733, S_XG_COUNTRY_USA, USA)","DRIVERINTERIORCONFIG_c(12419, 1, None, None)",DRIVERPORTRAIT_c(7404),True,AIRACEDRIVERPROFILE_c(3243),None,2012_SADLER,129106177
DRIVERCONFIG_c,9634,,9634,0x16D11,9634,"DRIVER_c(1131, S_DRIVER_D_REUTIMANN, None, False, S_HT_ZEPHYRHILLS, 129106690, True, , 131727617, True, False)","DRIVERNUMBER_c(9706, W:\NAS2\Hud\2012\numbers\0_placeholder.tga, 10_DAVIDREUTIMANN)","RACETEAM_c(1347, S_TEAM_TBR, None, TBR_Racing)",None,"DRIVERPIN_c(1733, S_XG_COUNTRY_USA, USA)","DRIVERINTERIORCONFIG_c(12419, 1, None, None)",DRIVERPORTRAIT_c(7405),True,AIRACEDRIVERPROFILE_c(3229),None,2012_REUTIMANN,129106177
DRIVERCONFIG_c,9635,,9635,0x16D44,9635,"DRIVER_c(1111, S_DRIVER_J_JOHNSON, None, False, S_HT_EL_CAJON, 129435921, True, JimmieJohnson, 131793153, True, True)","DRIVERNUMBER_c(9678, W:\NAS2\Hud\2012\numbers\48_Johnson.tga, 48_JIMMYJOHNSON)","RACETEAM_c(1340, S_TEAM_HM, None, TeamHendrick)","LIVERIE_c(7136, JIMMYJOHNSON, BaseColour_c(0, 45, 158), S_SCHEME_DAYTONA, None, False, False, None, 0, None, False, None, False, 0)","DRIVERPIN_c(1733, S_XG_COUNTRY_USA, USA)","DRIVERINTERIORCONFIG_c(2662, 1, None, None)",DRIVERPORTRAIT_c(7399),True,AIRACEDRIVERPROFILE_c(3257),"RACESERIES_c(9670, S_SERIES_SPRINT_CUP, 9671, IMGSPRINTCUP2012.ARC, [], [], 2012, True, None)",2012_JOHNSON,131727617
DRIVERCONFIG_c,9636,,9636,0x16D77,9636,"DRIVER_c(1114, S_DRIVER_M_KENSETH, None, False, S_HT_CAMBRIGDGE, 129237770, True, mattkenseth, 131793153, True, False)","DRIVERNUMBER_c(9703, W:\NAS2\Hud\2012\numbers\17_Kenseth.tga, 17_MATTKENSETH)","RACETEAM_c(1331, S_TEAM_RFR, None, roushfenway)","LIVERIE_c(7122, MATTKENSETH, BaseColour_c(6, 54, 163), S_SCHEME_DAYTONA, None, False, False, None, 0, None, False, None, False, 0)","DRIVERPIN_c(1733, S_XG_COUNTRY_USA, USA)","DRIVERINTERIORCONFIG_c(2655, 1, None, None)",DRIVERPORTRAIT_c(7389),True,AIRACEDRIVERPROFILE_c(3241),"RACESERIES_c(9670, S_SERIES_SPRINT_CUP, 9671, IMGSPRINTCUP2012.ARC, [], [], 2012, True, None)",2012_KENSETH,131268865
DRIVERCONFIG_c,9637,,9637,0x16DAA,9637,"DRIVER_c(7175, S_DRIVER_R_STENHOUSE_JR, None, False, S_STATE_MISSISSIPPI, 130222594, True, stenhousejr, 129106177, False, False)","DRIVERNUMBER_c(9704, W:\nas2\Hud\2012\numbers\6_Stenhouse_Jr.tga, 6_RICKYSTENHOUSEJR)","RACETEAM_c(1331, S_TEAM_RFR, None, roushfenway)","LIVERIE_c(7151, RICKYSTENHOUSE, BaseColour_c(0, 0, 180), S_SCHEME_DAYTONA, None, False, False, None, 0, None, False, None, False, 0)","DRIVERPIN_c(1733, S_XG_COUNTRY_USA, USA)","DRIVERINTERIORCONFIG_c(2655, 1, None, None)",DRIVERPORTRAIT_c(7158),True,AIRACEDRIVERPROFILE_c(12391),"RACESERIES_c(9670, S_SERIES_SPRINT_CUP, 9671, IMGSPRINTCUP2012.ARC, [], [], 2012, True, None)",2012_STENHOUSE,129106177
DRIVERCONFIG_c,9639,,9639,0x16DDD,9639,"DRIVER_c(1136, S_DRIVER_T_STEWART, None, False, S_HT_COLUMBUS, 129172756, True, tonystewart, 131793153, True, True)","DRIVERNUMBER_c(9708, W:\NAS2\Hud\2012\numbers\14_Stewart.tga, 14_TONYSTEWART)","RACETEAM_c(1351, S_TEAM_SHR, None, StewartHaasRcng)","LIVERIE_c(7133, TONYSTEWART, BaseColour_c(255, 13, 0), S_SCHEME_DAYTONA, None, False, False, None, 0, None, False, None, False, 0)","DRIVERPIN_c(1733, S_XG_COUNTRY_USA, USA)","DRIVERINTERIORCONFIG_c(2654, 1, None, None)",DRIVERPORTRAIT_c(7378),True,AIRACEDRIVERPROFILE_c(3239),"RACESERIES_c(9670, S_SERIES_SPRINT_CUP, 9671, IMGSPRINTCUP2012.ARC, [], [], 2012, True, None)",2012_STEWART,131793153
DRIVERCONFIG_c,9640,,9640,0x16E10,9640,"DRIVER_c(1104, S_DRIVER_D_GILLILAND, None, False, S_HT_RIVERSIDE, 129500161, True, DavidGilliland, 129106177, False, False)","DRIVERNUMBER_c(9675, W:\NAS2\Hud\2012\numbers\38_Gilliland.tga, 38_DAVIDGILLILAND)","RACETEAM_c(1327, S_TEAM_FRM, None, FrontRowNASCAR)","LIVERIE_c(7092, DAVIDGILLILAND, BaseColour_c(248, 248, 248), S_SCHEME_CHARLOTTE, None, False, False, None, 0, None, False, None, False, 0)","DRIVERPIN_c(1733, S_XG_COUNTRY_USA, USA)","DRIVERINTERIORCONFIG_c(12420, 1, None, None)",DRIVERPORTRAIT_c(7409),True,AIRACEDRIVERPROFILE_c(3252),"RACESERIES_c(9670, S_SERIES_SPRINT_CUP, 9671, IMGSPRINTCUP2012.ARC, [], [], 2012, True, None)",2012_GILLILAND,129106177
DRIVERCONFIG_c,9641,,9641,0x16E43,9641,"DRIVER_c(1113, S_DRIVER_K_KAHNE, None, False, S_HT_ENUMCLAW, 129762314, True, kaseykahne, 131793153, True, False)","DRIVERNUMBER_c(9679, W:\NAS2\Hud\2012\numbers\5_Kahne.tga, 5_KASEYKAHNE)","RACETEAM_c(1340, S_TEAM_HM, None, TeamHendrick)","LIVERIE_c(7111, KASEYKAHNE, BaseColour_c(255, 0, 0), S_SCHEME_DAYTONA, None, False, False, None, 0, None, False, None, False, 0)","DRIVERPIN_c(1733, S_XG_COUNTRY_USA, USA)","DRIVERINTERIORCONFIG_c(2379, 1, None, None)",DRIVERPORTRAIT_c(7393),True,AIRACEDRIVERPROFILE_c(3235),"RACESERIES_c(9670, S_SERIES_SPRINT_CUP, 9671, IMGSPRINTCUP2012.ARC, [], [], 2012, True, None)",2012_KAHNE,129106177
DRIVERCONFIG_c,9643,,9643,0x16E76,9643,"DRIVER_c(1100, S_DRIVER_D_EARNHARDT_JR, None, False, S_HT_KANNAPOLIS, 129370634, True, , 129106177, True, True)","DRIVERNUMBER_c(9681, W:\NAS2\Hud\2012\numbers\88_Earnhardt_Jr.tga, 88_DALEEARNHARDTJR)","RACETEAM_c(1340, S_TEAM_HM, None, TeamHendrick)","LIVERIE_c(7139, DALEJRGREEN, BaseColour_c(0, 104, 87), S_SCHEME_KANSAS, None, False, False, None, 0, None, False, None, False, 0)","DRIVERPIN_c(1733, S_XG_COUNTRY_USA, USA)","DRIVERINTERIORCONFIG_c(2663, 1, None, None)",DRIVERPORTRAIT_c(7410),True,AIRACEDRIVERPROFILE_c(3265),"RACESERIES_c(9670, S_SERIES_SPRINT_CUP, 9671, IMGSPRINTCUP2012.ARC, [], [], 2012, True, None)",2012_EARNHARDT,129106177
DRIVERCONFIG_c,9644,,9644,0x16EA9,9644,"DRIVER_c(1139, S_DRIVER_B_VICKERS, None, False, S_HT_THOMASVILLE, 129960472, True, , 129106177, False, False)","DRIVERNUMBER_c(7289, W:\nas2\Hud\new\numbers_2011\83-VICKERS_01.tga, 83_VICKERS)",None,None,"DRIVERPIN_c(1733, S_XG_COUNTRY_USA, USA)","DRIVERINTERIORCONFIG_c(12419, 1, None, None)",DRIVERPORTRAIT_c(7413),False,AIRACEDRIVERPROFILE_c(3379),None,2012_VICKERS,129106177
DRIVERCONFIG_c,9645,,9645,0x16EDC,9645,"DRIVER_c(1094, S_DRIVER_J_BURTON, None, False, S_HT_SOUTH_BOSTON, 128910877, True, RCR31JeffBurton, 129106177, True, False)","DRIVERNUMBER_c(9694, W:\NAS2\Hud\2012\numbers\31_Burton.tga, 31_JEFFBURTON)","RACETEAM_c(1333, S_TEAM_RCR, None, RCRracing)","LIVERIE_c(7104, JEFFBURTON, BaseColour_c(0, 0, 0), S_SCHEME_DAYTONA, None, False, False, None, 0, None, False, None, False, 0)","DRIVERPIN_c(1733, S_XG_COUNTRY_USA, USA)","DRIVERINTERIORCONFIG_c(2657, 1, None, None)",DRIVERPORTRAIT_c(7402),True,AIRACEDRIVERPROFILE_c(3247),"RACESERIES_c(9670, S_SERIES_SPRINT_CUP, 9671, IMGSPRINTCUP2012.ARC, [], [], 2012, True, None)",2012_BURTON,129106177
DRIVERCONFIG_c,9646,,9646,0x16F0F,9646,"DRIVER_c(1083, S_DRIVER_AJ_ALMENDINGER, None, False, S_HT_LOS_GATOS, 129829904, True, AJDinger, 129106177, False, False)","DRIVERNUMBER_c(9692, W:\NAS2\Hud\2012\numbers\22_Allmendinger.tga, 22_AJALLMENDINGER)","RACETEAM_c(1336, S_TEAM_PR_01, None, penskeracing)",None,"DRIVERPIN_c(1733, S_XG_COUNTRY_USA, USA)","DRIVERINTERIORCONFIG_c(2377, 1, None, None)",DRIVERPORTRAIT_c(7416),False,AIRACEDRIVERPROFILE_c(3255),None,2012_ALLMENDINGER,129106177
DRIVERCONFIG_c,9647,,9647,0x16F42,9647,"DRIVER_c(1096, S_DRIVER_K_BUSCH_02, None, False, S_HT_LAS_VEGAS, 130090242, True, kylebusch, 131793153, True, True)","DRIVERNUMBER_c(9684, W:\NAS2\Hud\2012\numbers\18_Busch.tga, 18_KYLEBUSCH)","RACETEAM_c(1335, S_TEAM_JGR, None, joegibbsracing)","LIVERIE_c(7115, KYLEBUSCH, BaseColour_c(255, 200, 0), S_SCHEME_SHOOTOUT, None, False, False, None, 0, None, False, None, False, 0)","DRIVERPIN_c(1733, S_XG_COUNTRY_USA, USA)","DRIVERINTERIORCONFIG_c(2653, 1, None, None)",DRIVERPORTRAIT_c(7391),True,AIRACEDRIVERPROFILE_c(3242),"RACESERIES_c(9670, S_SERIES_SPRINT_CUP, 9671, IMGSPRINTCUP2012.ARC, [], [], 2012, True, None)",2012_BUSCHKYLE,129106177
DRIVERCONFIG_c,9648,,9648,0x16F75,9648,"DRIVER_c(1090, S_DRIVER_G_BIFFLE, None, False, S_HT_VANCOUVER, 129043479, True, gbiffle, 131727617, True, False)","DRIVERNUMBER_c(9702, W:\NAS2\Hud\2012\numbers\16_Biffle.tga, 16_GREGBIFFLE)","RACETEAM_c(1331, S_TEAM_RFR, None, roushfenway)","LIVERIE_c(7101, GREGBIFFLE, BaseColour_c(255, 255, 255), S_SCHEME_DAYTONA, None, False, False, None, 0, None, False, None, False, 0)","DRIVERPIN_c(1733, S_XG_COUNTRY_USA, USA)","DRIVERINTERIORCONFIG_c(2655, 1, None, None)",DRIVERPORTRAIT_c(7403),True,AIRACEDRIVERPROFILE_c(3240),"RACESERIES_c(9670, S_SERIES_SPRINT_CUP, 9671, IMGSPRINTCUP2012.ARC, [], [], 2012, True, None)",2012_BIFFLE,129106177
