call_offset_hex,profile_id,profile_id_const_index,profile_id_load_offset_hex,skill,skill_const_index,skill_load_offset_hex,aggression,aggression_const_index,aggression_load_offset_hex,skill_intermediate,skill_intermediate_const_index,skill_intermediate_load_offset_hex,skill_plate,skill_plate_const_index,skill_plate_load_offset_hex,skill_road_course,skill_road_course_const_index,skill_road_course_load_offset_hex,skill_short,skill_short_const_index,skill_short_load_offset_hex,skill_superspeedway,skill_superspeedway_const_index,skill_superspeedway_load_offset_hex
0xA4A,3238,232,0xA32,0.089,233,0xA35,0.4,179,0xA38,1.0,175,0xA3B,1.0,175,0xA3E,1.0,175,0xA41,1.0,175,0xA44,1.0,175,0xA47
0xA6E,3239,234,0xA56,0.95,219,0xA59,0.8,229,0xA5C,0.96,235,0xA5F,1.0,175,0xA62,0.98,236,0xA65,0.87,225,0xA68,0.98,236,0xA6B
0xA92,3240,237,0xA7A,0.868,238,0xA7D,0.6,185,0xA80,1.0,175,0xA83,0.95,219,0xA86,0.95,219,0xA89,0.89,194,0xA8C,0.99,230,0xA8F
0xAB6,3241,239,0xA9E,1.0,175,0xAA1,0.6,185,0xAA4,1.0,175,0xAA7,1.0,175,0xAAA,0.85,228,0xAAD,0.98,236,0xAB0,1.0,175,0xAB3
0xADA,3242,240,0xAC2,0.855,241,0xAC5,0.8,229,0xAC8,0.96,235,0xACB,0.92,224,0xACE,0.99,230,0xAD1,1.0,175,0xAD4,1.0,175,0xAD7
0xAFE,3243,242,0xAE6,0.386,243,0xAE9,0.5,176,0xAEC,0.41,244,0xAEF,0.66,220,0xAF2,0.36,245,0xAF5,0.22,246,0xAF8,0.34,213,0xAFB
0xB22,3244,247,0xB0A,0.718,248,0xB0D,0.7,189,0xB10,0.86,249,0xB13,0.9,193,0xB16,0.56,250,0xB19,0.79,251,0xB1C,0.75,252,0xB1F
0xB46,3245,253,0xB2E,0.972,254,0xB31,0.6,185,0xB34,0.95,219,0xB37,0.97,255,0xB3A,0.95,219,0xB3D,0.98,236,0xB40,0.95,219,0xB43
0xB6A,3246,256,0xB52,0.882,257,0xB55,0.8,229,0xB58,0.9,193,0xB5B,0.94,195,0xB5E,0.78,226,0xB61,0.97,255,0xB64,0.93,258,0xB67
0xB8E,3247,259,0xB76,0.627,260,0xB79,0.5,176,0xB7C,0.7,189,0xB7F,0.96,235,0xB82,0.61,261,0xB85,0.67,200,0xB88,0.77,262,0xB8B
0xBB2,3248,263,0xB9A,0.881,264,0xB9D,0.7,189,0xBA0,0.92,224,0xBA3,0.98,236,0xBA6,0.95,219,0xBA9,0.9,193,0xBAC,0.94,195,0xBAF
0xBD6,3249,265,0xBBE,0.208,266,0xBC1,0.4,179,0xBC4,0.13,267,0xBC7,0.33,268,0xBCA,0.13,267,0xBCD,0.2,269,0xBD0,0.22,246,0xBD3
0xBFA,3250,270,0xBE2,0.204,271,0xBE5,0.3,272,0xBE8,1.0,175,0xBEB,1.0,175,0xBEE,1.0,175,0xBF1,1.0,175,0xBF4,1.0,175,0xBF7
0xC1E,3251,273,0xC06,0.079,274,0xC09,0.4,179,0xC0C,0.01,275,0xC0F,0.05,276,0xC12,0.05,276,0xC15,0.04,277,0xC18,0.08,278,0xC1B
0xC42,3252,279,0xC2A,0.198,280,0xC2D,0.3,272,0xC30,0.16,215,0xC33,0.48,281,0xC36,0.32,282,0xC39,0.23,283,0xC3C,0.17,284,0xC3F
0xC66,3253,285,0xC4E,0.754,286,0xC51,0.8,229,0xC54,0.84,199,0xC57,0.56,250,0xC5A,0.6,185,0xC5D,0.9,193,0xC60,0.85,228,0xC63
0xC8A,3254,287,0xC72,0.836,288,0xC75,0.9,193,0xC78,0.6,185,0xC7B,0.82,289,0xC7E,0.98,236,0xC81,0.71,180,0xC84,0.78,226,0xC87
0xCAE,3255,290,0xC96,0.635,291,0xC99,0.8,229,0xC9C,0.75,252,0xC9F,0.7,189,0xCA2,0.9,193,0xCA5,0.76,292,0xCA8,0.74,206,0xCAB
0xCD2,3256,293,0xCBA,0.528,294,0xCBD,0.9,193,0xCC0,0.85,228,0xCC3,0.85,228,0xCC6,1.0,175,0xCC9,0.72,295,0xCCC,0.84,199,0xCCF
0xCF6,3257,296,0xCDE,1.0,175,0xCE1,0.8,229,0xCE4,1.0,175,0xCE7,1.0,175,0xCEA,0.97,255,0xCED,1.0,175,0xCF0,1.0,175,0xCF3
0xD1A,3258,297,0xD02,0.056,298,0xD05,0.3,272,0xD08,0.04,277,0xD0B,0.1,212,0xD0E,0.07,299,0xD11,0.08,278,0xD14,0.07,299,0xD17
0xD3E,3259,300,0xD26,0.873,301,0xD29,0.5,176,0xD2C,0.94,195,0xD2F,0.92,224,0xD32,0.85,228,0xD35,0.9,193,0xD38,0.95,219,0xD3B
0xD62,3260,302,0xD4A,0.058,303,0xD4D,0.3,272,0xD50,0.11,304,0xD53,0.29,305,0xD56,0.14,306,0xD59,0.21,307,0xD5C,0.14,306,0xD5F
0xD86,3261,308,0xD6E,0.451,309,0xD71,0.5,176,0xD74,1.0,175,0xD77,1.0,175,0xD7A,1.0,175,0xD7D,1.0,175,0xD80,1.0,175,0xD83
0xDAA,3262,310,0xD92,0.353,311,0xD95,0.5,176,0xD98,0.46,312,0xD9B,0.76,292,0xD9E,0.3,272,0xDA1,0.51,208,0xDA4,0.5,176,0xDA7
0xDCE,3263,313,0xDB6,0.391,314,0xDB9,0.8,229,0xDBC,0.29,305,0xDBF,0.63,190,0xDC2,0.26,315,0xDC5,0.18,316,0xDC8,0.33,268,0xDCB
0xDF2,3264,317,0xDDA,0.07,299,0xDDD,0.3,272,0xDE0,0.02,318,0xDE3,0.12,216,0xDE6,0.0,319,0xDE9,0.03,320,0xDEC,0.07,299,0xDEF
0xE16,3265,321,0xDFE,0.837,322,0xE01,0.6,185,0xE04,0.99,230,0xE07,1.0,175,0xE0A,0.73,323,0xE0D,0.92,224,0xE10,1.0,175,0xE13
0xE3A,3266,324,0xE22,0.514,325,0xE25,0.5,176,0xE28,0.6,185,0xE2B,0.88,221,0xE2E,0.45,326,0xE31,0.52,327,0xE34,0.64,214,0xE37
0xE5E,3267,328,0xE46,0.738,329,0xE49,0.8,229,0xE4C,0.93,258,0xE4F,1.0,175,0xE52,0.74,206,0xE55,0.93,258,0xE58,0.92,224,0xE5B
0xE82,3354,330,0xE6A,0.024,331,0xE6D,0.0,319,0xE70,1.0,175,0xE73,1.0,175,0xE76,1.0,175,0xE79,1.0,175,0xE7C,1.0,175,0xE7F
0xEA6,3355,332,0xE8E,0.7,189,0xE91,0.7,189,0xE94,0.58,333,0xE97,0.77,262,0xE9A,0.35,334,0xE9D,0.45,326,0xEA0,0.55,209,0xEA3
0xECA,3356,335,0xEB2,0.114,336,0xEB5,0.4,179,0xEB8,0.17,284,0xEBB,0.57,205,0xEBE,0.26,315,0xEC1,0.15,337,0xEC4,0.24,338,0xEC7
0xEEE,3357,339,0xED6,0.546,340,0xED9,0.0,319,0xEDC,1.0,175,0xEDF,1.0,175,0xEE2,1.0,175,0xEE5,1.0,175,0xEE8,1.0,175,0xEEB
0xF12,3358,341,0xEFA,0.312,342,0xEFD,0.4,179,0xF00,0.28,343,0xF03,0.3,272,0xF06,0.16,215,0xF09,0.14,306,0xF0C,0.39,201,0xF0F
0xF36,3359,344,0xF1E,0.201,345,0xF21,0.5,176,0xF24,0.06,346,0xF27,0.18,316,0xF2A,0.13,267,0xF2D,0.16,215,0xF30,0.13,267,0xF33
0xF5A,3360,347,0xF42,0.277,348,0xF45,0.5,176,0xF48,1.0,175,0xF4B,1.0,175,0xF4E,1.0,175,0xF51,1.0,175,0xF54,1.0,175,0xF57
0xF7E,3361,349,0xF66,0.221,350,0xF69,0.3,272,0xF6C,1.0,175,0xF6F,1.0,175,0xF72,1.0,175,0xF75,1.0,175,0xF78,1.0,175,0xF7B
0xFA2,3362,351,0xF8A,0.217,352,0xF8D,0.3,272,0xF90,1.0,175,0xF93,1.0,175,0xF96,1.0,175,0xF99,1.0,175,0xF9C,1.0,175,0xF9F
0xFC6,3363,353,0xFAE,0.053,354,0xFB1,0.0,319,0xFB4,1.0,175,0xFB7,1.0,175,0xFBA,1.0,175,0xFBD,1.0,175,0xFC0,1.0,175,0xFC3
0xFEA,3364,355,0xFD2,0.392,178,0xFD5,0.0,319,0xFD8,1.0,175,0xFDB,1.0,175,0xFDE,1.0,175,0xFE1,1.0,175,0xFE4,1.0,175,0xFE7
0x100E,3365,356,0xFF6,0.241,357,0xFF9,0.3,272,0xFFC,0.22,246,0xFFF,0.71,180,0x1002,0.18,316,0x1005,0.32,282,0x1008,0.25,207,0x100B
0x1032,3366,358,0x101A,0.074,359,0x101D,0.0,319,0x1020,1.0,175,0x1023,1.0,175,0x1026,1.0,175,0x1029,1.0,175,0x102C,1.0,175,0x102F
0x1056,3367,360,0x103E,0.227,361,0x1041,0.0,319,0x1044,1.0,175,0x1047,1.0,175,0x104A,1.0,175,0x104D,1.0,175,0x1050,1.0,175,0x1053
0x107A,3368,362,0x1062,0.053,354,0x1065,0.3,272,0x1068,1.0,175,0x106B,1.0,175,0x106E,1.0,175,0x1071,1.0,175,0x1074,1.0,175,0x1077
0x109E,3369,363,0x1086,0.208,266,0x1089,0.0,319,0x108C,1.0,175,0x108F,1.0,175,0x1092,1.0,175,0x1095,1.0,175,0x1098,1.0,175,0x109B
0x10C2,3370,364,0x10AA,0.1,212,0x10AD,0.3,272,0x10B0,0.05,276,0x10B3,0.07,299,0x10B6,0.06,346,0x10B9,0.04,277,0x10BC,0.07,299,0x10BF
0x10E6,3371,365,0x10CE,0.034,366,0x10D1,0.0,319,0x10D4,1.0,175,0x10D7,1.0,175,0x10DA,1.0,175,0x10DD,1.0,175,0x10E0,1.0,175,0x10E3
0x110A,3372,367,0x10F2,0.353,311,0x10F5,0.6,185,0x10F8,0.2,269,0x10FB,0.2,269,0x10FE,0.2,269,0x1101,0.2,269,0x1104,0.2,269,0x1107
0x112E,3373,368,0x1116,0.055,369,0x1119,0.0,319,0x111C,1.0,175,0x111F,1.0,175,0x1122,1.0,175,0x1125,1.0,175,0x1128,1.0,175,0x112B
0x1152,3374,370,0x113A,0.0,319,0x113D,0.0,319,0x1140,1.0,175,0x1143,1.0,175,0x1146,1.0,175,0x1149,1.0,175,0x114C,1.0,175,0x114F
0x1176,3375,371,0x115E,0.249,372,0x1161,0.4,179,0x1164,0.26,315,0x1167,0.49,373,0x116A,0.33,268,0x116D,0.33,268,0x1170,0.26,315,0x1173
0x119A,3376,374,0x1182,0.184,375,0x1185,0.0,319,0x1188,1.0,175,0x118B,1.0,175,0x118E,1.0,175,0x1191,1.0,175,0x1194,1.0,175,0x1197
0x11BE,3377,376,0x11A6,0.237,377,0x11A9,0.4,179,0x11AC,1.0,175,0x11AF,1.0,175,0x11B2,1.0,175,0x11B5,1.0,175,0x11B8,1.0,175,0x11BB
0x11E2,3378,378,0x11CA,0.305,379,0x11CD,0.5,176,0x11D0,1.0,175,0x11D3,1.0,175,0x11D6,1.0,175,0x11D9,1.0,175,0x11DC,1.0,175,0x11DF
0x1206,3379,380,0x11EE,0.75,252,0x11F1,0.9,193,0x11F4,0.81,231,0x11F7,0.64,214,0x11FA,0.75,252,0x11FD,0.89,194,0x1200,0.8,229,0x1203
0x122A,3380,381,0x1212,0.655,382,0x1215,0.0,319,0x1218,1.0,175,0x121B,1.0,175,0x121E,1.0,175,0x1221,1.0,175,0x1224,1.0,175,0x1227
0x124E,3381,383,0x1236,0.315,384,0x1239,0.0,319,0x123C,1.0,175,0x123F,1.0,175,0x1242,1.0,175,0x1245,1.0,175,0x1248,1.0,175,0x124B
0x1272,6920,385,0x125A,0.003,386,0x125D,0.3,272,0x1260,1.0,175,0x1263,1.0,175,0x1266,1.0,175,0x1269,1.0,175,0x126C,1.0,175,0x126F
0x1296,6921,387,0x127E,0.643,388,0x1281,0.3,272,0x1284,0.65,188,0x1287,0.9,193,0x128A,0.37,182,0x128D,0.4,179,0x1290,0.65,188,0x1293
0x12BA,6922,389,0x12A2,0.147,390,0x12A5,0.8,229,0x12A8,0.25,207,0x12AB,0.91,196,0x12AE,0.35,334,0x12B1,0.21,307,0x12B4,0.25,207,0x12B7
0x12DE,6923,391,0x12C6,0.003,386,0x12C9,0.3,272,0x12CC,0.2,269,0x12CF,0.2,269,0x12D2,0.2,269,0x12D5,0.2,269,0x12D8,0.2,269,0x12DB
0x1302,12391,392,0x12EA,0.7,189,0x12ED,0.5,176,0x12F0,0.79,251,0x12F3,0.51,208,0x12F6,0.36,245,0x12F9,0.78,226,0x12FC,0.79,251,0x12FF
0x1326,12392,393,0x130E,0.5,176,0x1311,0.5,176,0x1314,0.05,276,0x1317,0.07,299,0x131A,0.0,319,0x131D,0.0,319,0x1320,0.07,299,0x1323
0x134A,13107,394,0x1332,0.5,176,0x1335,0.3,272,0x1338,0.79,251,0x133B,0.9,193,0x133E,0.7,189,0x1341,0.7,189,0x1344,0.79,251,0x1347
0x136E,18354,395,0x1356,0.7,189,0x1359,0.8,229,0x135C,0.67,200,0x135F,0.9,193,0x1362,0.55,209,0x1365,0.7,189,0x1368,0.7,189,0x136B
0x1392,23214,396,0x137A,0.7,189,0x137D,0.8,229,0x1380,0.67,200,0x1383,0.9,193,0x1386,0.55,209,0x1389,0.7,189,0x138C,0.7,189,0x138F
0x13B6,23215,397,0x139E,0.7,189,0x13A1,0.8,229,0x13A4,0.67,200,0x13A7,0.9,193,0x13AA,0.55,209,0x13AD,0.7,189,0x13B0,0.7,189,0x13B3
0x13DA,23216,398,0x13C2,0.198,280,0x13C5,0.3,272,0x13C8,0.16,215,0x13CB,0.48,281,0x13CE,0.32,282,0x13D1,0.23,283,0x13D4,0.17,284,0x13D7
0x13FE,23217,399,0x13E6,0.058,303,0x13E9,0.3,272,0x13EC,0.11,304,0x13EF,0.29,305,0x13F2,0.14,306,0x13F5,0.21,307,0x13F8,0.14,306,0x13FB
0x1422,23218,400,0x140A,0.386,243,0x140D,0.5,176,0x1410,0.41,244,0x1413,0.66,220,0x1416,0.36,245,0x1419,0.22,246,0x141C,0.34,213,0x141F
0x1446,23219,401,0x142E,0.07,299,0x1431,0.3,272,0x1434,0.02,318,0x1437,0.12,216,0x143A,0.0,319,0x143D,0.03,320,0x1440,0.07,299,0x1443
